# Core ML libraries - pinned for stability
torch>=2.5.0,<2.8.0
transformers>=4.40.0,<5.0.0
datasets>=2.15.0,<3.0.0
tokenizers>=0.15.0,<1.0.0

# Training optimization
accelerate>=0.25.0,<1.0.0
peft>=0.8.0,<1.0.0
bitsandbytes>=0.42.0,<1.0.0; platform_system != "Darwin"  # GPU-only optimization

# Data handling
numpy>=1.24.0,<2.0.0
pandas>=2.0.0,<3.0.0

# Configuration and logging
PyYAML>=6.0,<7.0.0
tensorboard>=2.15.0,<3.0.0
wandb>=0.16.0,<1.0.0

# Utilities
tqdm>=4.65.0,<5.0.0
scikit-learn>=1.3.0,<2.0.0

# Environment management
python-dotenv>=1.0.0,<2.0.0
hydra-core>=1.3.0,<2.0.0

# GPU-specific optimizations (Windows/Linux only)
flash-attn>=2.0.0,<3.0.0; platform_system != "Darwin"  # Not available on macOS
triton>=2.0.0,<3.0.0; platform_system != "Darwin"  # Not available on macOS

# Development and testing
pytest>=7.0.0,<8.0.0
pytest-cov>=4.0.0,<5.0.0
black>=23.0.0,<25.0.0
isort>=5.12.0,<6.0.0
flake8>=6.0.0,<7.0.0
mypy>=1.0.0,<2.0.0
